"","aoi_id","aoi_name","section_id","recording_id","fixation_id","fixation_duration.ms","folder"
"1","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","079ae433-6ddc-4133-b21e-9ab8126cbbd9","c72918b2-d44b-49a7-8fec-497a537031a9","19","2048","01-mY_csv"
"2","1b66141b-767b-43c2-a4ad-0786eb2107a9","hands","a4545bbc-7c48-485a-9be1-49a0f3c0228c","75628abf-e24a-4c66-a8b7-72b986bed632","21","152","01-mY_csv"
"3","1b66141b-767b-43c2-a4ad-0786eb2107a9","hands","a4545bbc-7c48-485a-9be1-49a0f3c0228c","75628abf-e24a-4c66-a8b7-72b986bed632","22","112","01-mY_csv"
"4","1b66141b-767b-43c2-a4ad-0786eb2107a9","hands","a4545bbc-7c48-485a-9be1-49a0f3c0228c","75628abf-e24a-4c66-a8b7-72b986bed632","23","136","01-mY_csv"
"5","1b66141b-767b-43c2-a4ad-0786eb2107a9","hands","a4545bbc-7c48-485a-9be1-49a0f3c0228c","75628abf-e24a-4c66-a8b7-72b986bed632","24","144","01-mY_csv"
"6","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","a4545bbc-7c48-485a-9be1-49a0f3c0228c","75628abf-e24a-4c66-a8b7-72b986bed632","20","212","01-mY_csv"
"7","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","e06ef8be-be06-4400-8425-f57775c08a3c","595d3820-9d36-4254-9889-fb4aa7b03ca8","7","2500","01-mY_csv"
"8","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","043dc71c-d8ae-46bd-88d3-271d040a7156","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e","7","2116","01-mY_csv"
"9","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","a12bed44-02ff-4cd5-afa0-ba5b69bcc9e4","bda32afb-bb0e-47d2-9a00-580011782b8f","11","1531","01-mY_csv"
"10","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","a12bed44-02ff-4cd5-afa0-ba5b69bcc9e4","bda32afb-bb0e-47d2-9a00-580011782b8f","12","260","01-mY_csv"
"11","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","542d7924-f9a1-427f-83c3-28df998a8626","ac37ef44-bbd6-408d-88f6-70d72dba0f61","19","1156","01-mY_csv"
"12","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","4851f793-89d6-40f8-ae8d-5688ae9c00f8","f9aa1034-d3ff-4dba-843c-a258af650bac","29","2172","01-mY_csv"
"13","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","4851f793-89d6-40f8-ae8d-5688ae9c00f8","f9aa1034-d3ff-4dba-843c-a258af650bac","30","1180","01-mY_csv"
"14","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","196f9a1e-ed2e-4e24-b3ce-2eb6f6752ab2","edfd72ca-9589-4a04-9486-9a2fcfa47ffe","29","1752","01-mY_csv"
"15","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","196f9a1e-ed2e-4e24-b3ce-2eb6f6752ab2","edfd72ca-9589-4a04-9486-9a2fcfa47ffe","30","2652","01-mY_csv"
"16","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","5e1cf98d-6c1f-4247-9eea-90019bc4c18b","9f24e973-c285-426a-bb25-b3fa4b54fe87","19","108","01-mY_csv"
"17","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","5e1cf98d-6c1f-4247-9eea-90019bc4c18b","9f24e973-c285-426a-bb25-b3fa4b54fe87","20","288","01-mY_csv"
"18","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","5e1cf98d-6c1f-4247-9eea-90019bc4c18b","9f24e973-c285-426a-bb25-b3fa4b54fe87","21","1740","01-mY_csv"
"19","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","3995f6f2-23fa-460b-a3e7-5c08df6b4305","2f0303ee-c900-494b-b4e9-29fd3dacbbbd","6","3432","01-mY_csv"
"20","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","062508b5-2810-40ba-bfc9-c2a0104af20c","00598c81-108a-4a39-9256-7e431145ca7b","12","684","01-mY_csv"
"21","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","062508b5-2810-40ba-bfc9-c2a0104af20c","00598c81-108a-4a39-9256-7e431145ca7b","13","652","01-mY_csv"
"22","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","ce1547cf-a9e1-4f5f-8814-c16bd41b60d4","34b59526-a8ca-4be9-a6a8-b46490bf9c98","17","6148","01-mY_csv"
"23","ddbbc193-f561-41b2-8f86-ff8f21aa4ed8","face","ce1547cf-a9e1-4f5f-8814-c16bd41b60d4","34b59526-a8ca-4be9-a6a8-b46490bf9c98","18","2084","01-mY_csv"
