"","section id","recording id","fixation id","start timestamp [ns]","end timestamp [ns]","duration [ms]","fixation status","fixation x [px]","fixation y [px]","gesture_id","gesture_type","gesture_match","folder"
"30","1f3aea9d-a2e9-46ca-a931-d7a11278dbcf","a0a49152-c90b-4e5d-bb89-a29782681145",18,1745072335682847232,1745072337134847488,1452,"TRUE",1052,458,"01","m","Y","01-mY_csv"
"31","1f3aea9d-a2e9-46ca-a931-d7a11278dbcf","a0a49152-c90b-4e5d-bb89-a29782681145",19,1745072337162874368,1745072337654859264,492,"TRUE",1066,441,"01","m","Y","01-mY_csv"
"32","f98e0561-96f6-48ea-9635-474077271b19","a92229a7-2f88-4b32-ba22-2ef9c7466682",10,1745074871311926784,1745074872655914496,1344,"TRUE",1139,463,"01","m","Y","01-mY_csv"
"33","f8363683-8444-436a-94b5-11062d026bf1","b6047184-9e37-49bf-bb76-ce99f6eb1ec7",19,1744738055471283200,1744738057399265024,1928,"TRUE",1069,490,"01","m","Y","01-mY_csv"
"34","f8363683-8444-436a-94b5-11062d026bf1","b6047184-9e37-49bf-bb76-ce99f6eb1ec7",20,1744738057511271936,1744738060235239936,2724,"TRUE",1066,480,"01","m","Y","01-mY_csv"
"35","8d2c2342-79d0-4226-ad32-27485ab28172","b6ca3931-cd61-4af4-9eee-e9ee21c69215",35,1745389981844482816,1745389983916472064,2072,"TRUE",1154,397,"01","m","Y","01-mY_csv"
"36","0d6cba95-69a5-4bda-ae24-6497df45b11e","badefb46-f4fc-44df-bfa7-2e1fc7e4ae3d",1,1744732030574447616,1744732040090549504,9516,"TRUE",1030,431,"01","m","Y","01-mY_csv"
"37","5cece600-6873-4eb2-bde4-76d8b1eaf289","cb62fc54-6be6-4658-817a-9f0491b6e1bd",7,1.745075461028e+18,1745075467991887616,6964,"TRUE",1100,492,"01","m","Y","01-mY_csv"
"38","abd15081-bf6f-4abf-a78e-672fac937627","d34232d4-8572-40a7-a844-601d735c40ce",38,1744737593955433984,1744737600063405824,6108,"TRUE",1052,475,"01","m","Y","01-mY_csv"
"39","abd15081-bf6f-4abf-a78e-672fac937627","d34232d4-8572-40a7-a844-601d735c40ce",39,1744737600127393792,1744737600259398656,132,"TRUE",636,570,"01","m","Y","01-mY_csv"
"40","abd15081-bf6f-4abf-a78e-672fac937627","d34232d4-8572-40a7-a844-601d735c40ce",40,1744737600323383808,1744737600603526656,280,"TRUE",1047,741,"01","m","Y","01-mY_csv"
"41","abd15081-bf6f-4abf-a78e-672fac937627","d34232d4-8572-40a7-a844-601d735c40ce",41,1744737600655430656,1744737605791426816,5136,"TRUE",1054,485,"01","m","Y","01-mY_csv"
"42","cb851a91-cb19-4c90-be8d-b93dd8ef5086","e4319678-12fa-4106-b1ef-19fb72a96880",13,1745390408060064256,1745390409340030464,1280,"TRUE",1015,412,"01","m","Y","01-mY_csv"
"43","cb851a91-cb19-4c90-be8d-b93dd8ef5086","e4319678-12fa-4106-b1ef-19fb72a96880",14,1745390409368019456,1745390410652024320,1284,"TRUE",1000,356,"01","m","Y","01-mY_csv"
"44","3119578b-dce8-4d90-bab1-0a4e78e7432e","e9ced595-7be7-4605-85f7-ba04518e0f0b",21,1744960469762774528,1744960476766808320,7004,"TRUE",1157,356,"01","m","Y","01-mY_csv"
"45","3119578b-dce8-4d90-bab1-0a4e78e7432e","e9ced595-7be7-4605-85f7-ba04518e0f0b",22,1744960476858761216,1744960477258767360,400,"TRUE",1108,390,"01","m","Y","01-mY_csv"
"46","328b8941-299e-48b7-b465-c58e0dddc9d9","eb81676a-2955-455d-8436-8d83246dd543",17,1744731480895660800,1744731493351621632,12456,"TRUE",1056,490,"01","m","Y","01-mY_csv"
"47","e7a15b3e-bb8b-451a-bb56-e5bfacb94834","fc54a15e-da2d-4b02-97e4-7e2d945a18f9",7,1744621340378159104,1744621341338161152,960,"TRUE",1005,280,"01","m","Y","01-mY_csv"
"48","9e005fb4-17e0-46a6-8492-543b5e269238","c72918b2-d44b-49a7-8fec-497a537031a9",31,1744042265479444224,1744042270779631104,5300,"true",1037,459,"02","s","N","02-sN_csv"
"49","385ca18a-cd08-4e66-a345-88a125a084c4","75628abf-e24a-4c66-a8b7-72b986bed632",46,1744041704791258880,1744041705230553856,439,"true",1020,470,"02","s","N","02-sN_csv"
"50","385ca18a-cd08-4e66-a345-88a125a084c4","75628abf-e24a-4c66-a8b7-72b986bed632",47,1744041705282578944,1744041705610971904,328,"true",1292,404,"02","s","N","02-sN_csv"
"51","385ca18a-cd08-4e66-a345-88a125a084c4","75628abf-e24a-4c66-a8b7-72b986bed632",48,1744041705642537984,1744041705830596864,188,"true",1369,510,"02","s","N","02-sN_csv"
"52","385ca18a-cd08-4e66-a345-88a125a084c4","75628abf-e24a-4c66-a8b7-72b986bed632",49,1744041705911059968,1744041706478720000,568,"true",720,239,"02","s","N","02-sN_csv"
"53","3eb3175e-31cd-4ec1-9cb5-c819502ac594","595d3820-9d36-4254-9889-fb4aa7b03ca8",27,1744467595684560640,1744467598304520704,2620,"true",997,513,"02","s","N","02-sN_csv"
"54","3eb3175e-31cd-4ec1-9cb5-c819502ac594","595d3820-9d36-4254-9889-fb4aa7b03ca8",28,1744467598372682496,1744467598776743680,404,"true",960,479,"02","s","N","02-sN_csv"
"55","26b0a956-8d0e-4582-9bf4-92567023b313","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e",13,1744467983572843520,1744467987068677376,3496,"true",957,379,"02","s","N","02-sN_csv"
"56","e9fc2803-8639-453e-acdb-6e15b2f485aa","bda32afb-bb0e-47d2-9a00-580011782b8f",34,1744467283134558976,1744467283314539264,180,"true",949,679,"02","s","N","02-sN_csv"
"57","e9fc2803-8639-453e-acdb-6e15b2f485aa","bda32afb-bb0e-47d2-9a00-580011782b8f",35,1744467283354550016,1744467283830629120,476,"true",980,496,"02","s","N","02-sN_csv"
"58","e9fc2803-8639-453e-acdb-6e15b2f485aa","bda32afb-bb0e-47d2-9a00-580011782b8f",36,1744467283994524160,1744467285030575104,1036,"true",917,490,"02","s","N","02-sN_csv"
"59","f9e9fdc2-9096-4d51-8b5a-04db1fc74091","ac37ef44-bbd6-408d-88f6-70d72dba0f61",32,1745508108000466944,1745508109628596736,1628,"true",1029,416,"02","s","N","02-sN_csv"
"60","6b21d2f4-984e-4e60-a16a-07d34ace7fdf","f9aa1034-d3ff-4dba-843c-a258af650bac",37,1747325334427702784,1747325338387715840,3960,"true",997,450,"02","s","N","02-sN_csv"
"61","6b21d2f4-984e-4e60-a16a-07d34ace7fdf","f9aa1034-d3ff-4dba-843c-a258af650bac",38,1747325338427710720,1747325338575695616,148,"true",814,439,"02","s","N","02-sN_csv"
"62","6b21d2f4-984e-4e60-a16a-07d34ace7fdf","f9aa1034-d3ff-4dba-843c-a258af650bac",39,1747325338615710720,1747325339191702784,576,"true",977,467,"02","s","N","02-sN_csv"
"63","728fa58a-446d-493e-b9c8-953725340a07","edfd72ca-9589-4a04-9486-9a2fcfa47ffe",34,1747324871451527424,1747324879467590400,8016,"true",991,416,"02","s","N","02-sN_csv"
"64","f6d760a8-bc8e-4c26-bf31-0801d3cec0c6","9f24e973-c285-426a-bb25-b3fa4b54fe87",42,1745508611203158528,1745508613003169280,1800,"true",1054,393,"02","s","N","02-sN_csv"
"65","f6d760a8-bc8e-4c26-bf31-0801d3cec0c6","9f24e973-c285-426a-bb25-b3fa4b54fe87",43,1745508613195147520,1745508614995158528,1800,"true",1049,465,"02","s","N","02-sN_csv"
"66","c459e9a4-2b4c-460a-a956-26aeb01a3afa","2f0303ee-c900-494b-b4e9-29fd3dacbbbd",15,1744620858286008832,1744620860470041856,2184,"true",980,373,"02","s","N","02-sN_csv"
"67","c459e9a4-2b4c-460a-a956-26aeb01a3afa","2f0303ee-c900-494b-b4e9-29fd3dacbbbd",16,1744620860686155776,1744620864738483712,4052,"true",1020,379,"02","s","N","02-sN_csv"
